id,saleprice
2658,139320.06396606396
2718,168486.22311862488
2414,235196.72062978926
1989,109994.56613679914
625,176986.32178935414
333,70574.81189891187
1327,98615.93694735644
858,155878.6843471545
95,173179.23466726817
1568,165239.06041888671
2482,151547.70966850937
1364,108023.40566710434
2584,158497.73959498474
818,279383.9431023621
2673,149267.140954384
2089,129465.37879490815
1297,156052.97124135296
790,128053.43008458489
2616,193316.88838520664
720,187974.87515727803
222,164538.3077468228
557,132107.3095500769
1148,177843.85079784607
2766,160374.57466287716
534,185739.51952408985
1452,125055.07292746736
630,136921.4515240973
2648,133585.30001390626
125,152470.35318686705
1904,33562.5960659922
1670,104687.52450643896
756,89502.3982754594
717,246868.45174175303
1032,154379.65517827962
852,228544.62466867408
1731,171205.29923874524
2639,105821.72412010671
2071,72798.28147115484
1267,148081.6808554363
1851,197480.55770475644
567,166013.98853215095
2439,205895.63772853537
1898,157370.59059462848
647,177955.65726604094
2256,216702.27345805947
979,94099.0405410361
1444,224248.73143794702
2485,123168.8559362237
157,127214.32038137413
88,121741.70013366289
2003,101833.74934763847
186,221206.70479239052
1425,251747.12156598957
2695,130833.60393194706
738,117010.05968762832
395,158589.1922201764
1353,174647.68359102556
1878,166861.92756170096
390,161342.5519850361
1456,236380.12282504572
1103,299331.65100829606
1387,104622.68138839115
2070,144355.42515015005
1199,158105.83747527227
2479,182522.9018153692
501,309971.2252520587
2362,81389.50836838571
1718,238920.59004105936
2188,78432.12240056423
1483,155077.0542367781
2557,72841.8224214474
437,335948.51010735304
2224,195176.91646923748
1628,182300.99672410588
397,127913.23371137716
587,190970.6804973972
2182,521422.6461141758
971,141311.32679100375
2611,148965.90091006897
1887,83253.48129480479
2399,375516.76659820776
2148,206536.79002334308
304,137341.96312319153
1997,135027.89730618527
2817,123832.470630722
1431,225555.75714440082
427,356710.2133802475
263,127438.43310571674
598,188889.9608111894
2895,256404.1929252774
687,124540.40601593847
1822,134334.31044466293
2191,102100.56060224578
179,105487.79533400225
1009,261764.51155357005
2010,124376.11727649086
1991,138764.8463289445
1411,199932.53962280654
1721,266208.3082540848
1144,199155.38786833631
593,216855.29686393967
575,320030.040640885
1249,187852.81387427737
1604,124962.12625109275
1064,447451.03785287484
1923,147861.83523794994
1988,95967.1056139633
2325,169133.54986323186
114,199955.82805193838
2700,163446.00075880036
217,123841.9961222704
343,188936.84232316085
386,214740.34525817103
2005,111206.24761653961
2908,117576.6118680932
1814,247408.78998262255
2446,448572.8464848307
208,157887.0409726177
1679,95670.00343414757
822,324900.9005402721
6,183105.5731672014
1781,382556.0533575383
2397,332499.95349588373
2340,321950.28160102485
1618,165652.71757060653
2843,151789.47346450086
1061,352381.4152654657
2786,124717.6269004777
1935,127268.9809520401
1341,124398.89486486527
521,260016.94168647725
2136,130582.81072949954
996,198695.04137646116
227,141069.59954089532
135,175258.9658208402
1167,161620.67375832182
294,219813.35938179545
1776,206988.64850051334
540,177158.2741733122
1717,254358.4074848062
2303,123414.46781511903
116,190096.87354108694
127,162573.53583916227
1371,130902.84116034393
1014,159075.58042014224
1507,80328.43452554218
702,145933.01670365612
750,146260.70752086944
261,135645.83960636702
1559,65188.48498066093
577,216670.550551571
2812,193874.58961117905
2080,162709.84810057475
1368,98893.3455663963
2376,125208.48068741892
659,118522.19810154784
1235,122943.0548565164
332,57388.59727844621
1917,143421.80138717347
2094,256282.37922489858
1460,261426.66725604387
1471,221538.82180033333
1509,109497.30651339493
1922,125154.59410399562
433,433777.99310798687
460,280323.46614220366
1116,249956.66809033303
1137,162224.2462300444
53,167119.82919300985
2354,263054.09490960476
1475,204221.11618879464
1761,436889.6170061941
842,134449.21978424527
2739,195324.04608815585
2509,164047.64074734855
1007,210860.03727197205
2610,178828.1831436026
1952,94831.6496109348
2719,160767.18211864526
2921,69747.02801914126
1966,143910.22103311162
292,131913.76329169326
1204,187175.66564875664
1829,247381.94513126742
2419,197984.905452524
391,160833.58409162058
798,122910.9251934938
481,207331.2259880841
193,195729.45605609033
555,121970.98985353785
899,57885.79028871321
2357,185201.38626381234
328,143157.46573154186
1356,108145.32268471335
1154,112401.1428787814
1730,190024.7224095494
2249,155202.79206553206
1119,297803.0395686057
2856,137510.32466673266
1394,135627.15792258317
2587,120007.8203446569
61,277083.3291355774
2661,190567.9579609047
2711,126734.18018324161
1147,182521.0873548638
757,126778.62082225125
2623,82885.58646787815
2378,155180.58822164728
1413,140861.20764441902
1722,237500.9374168935
1112,207430.65126799064
1623,186416.98334253798
1201,203681.5036548509
1513,118253.78113045901
957,248679.82683485484
1171,241077.48787585922
1145,208733.6751767702
2726,214131.98605713158
703,153983.54319740296
760,106989.09604984631
1964,148647.70012307758
2512,178863.90915515847
159,143116.5765062153
1281,178815.06337724856
468,196699.9870015445
290,123781.08734876072
665,99774.07174878943
1463,251419.41771836975
1792,213360.21644029737
923,159926.81102469697
500,277580.7136795672
1408,150346.79311924975
331,62107.85607750359
170,173103.8111508657
2192,96405.22167057934
2571,295622.129387992
2314,168789.45570986185
2647,82515.21941978007
422,396350.7410287304
2457,323637.24938814796
1838,193099.55354810596
2805,255594.34553823902
1645,174369.26948567273
1711,309170.6308043432
2825,245546.58534724166
322,331142.3493529401
2103,278047.18069452996
342,116827.88778994378
600,118475.95483775053
488,159736.16484263263
1725,313956.1486511612
2246,288844.5745660935
2847,151629.7064355257
806,236745.46713006578
530,231077.77273427433
963,199082.9407869404
2678,102148.44972326356
171,81921.69453869747
2401,408486.1552075708
805,239235.7657581914
2259,285958.21881048376
1748,208843.77029372615
1361,134373.98297488457
1677,115768.8245221641
1406,171893.9697831217
2322,248305.7361812326
688,152301.73683041357
143,140277.24796979828
804,218523.42187680883
1214,163949.9683295859
2828,149172.80368935262
1999,215938.84374750272
2467,200063.36925087144
2665,179562.30538814826
1538,345351.5430749496
398,113605.16965114756
2822,155636.1209051403
2157,143233.4394039912
1856,185980.04768176895
1269,103247.48968848595
2570,108798.67238025594
2320,242460.84204946173
1517,122214.35348970885
2304,108822.65219570938
1312,97150.59337758008
2012,136820.9936930518
506,225117.640919733
2865,189594.53517298048
2367,107035.71494540549
554,86645.74456314706
238,139773.1364914846
